,PROD-001,PROD-002,PROD-003
2024-03-31,286.7914466827811,442.9167210252983,595.7870372693156
2024-04-01,305.46051998754115,458.5547281351367,613.3010214186652
2024-04-02,316.0381770745716,477.00724469926763,623.9910410571932
2024-04-03,324.78972383701625,481.57381722412583,629.3463590993281
2024-04-04,320.7877780817643,476.05900110625936,630.2816048034065
2024-04-05,310.24232780950956,467.3464608229471,617.0563603125471
2024-04-06,301.5194101862772,463.471626039061,617.645414995755
2024-04-07,306.2027981359458,469.5341144354959,626.3904902900672
2024-04-08,322.52496599447295,483.2404096512355,644.1096493897033
2024-04-09,331.95891121316816,500.41928967317125,656.0681320677949
2024-04-10,339.0367609767809,503.2890291901801,663.4725814311488
2024-04-11,334.2721684336921,496.9891840221339,665.6800417178332
2024-04-12,323.2676850709788,487.7857123352548,653.3026395885121
2024-04-13,314.71005688522797,483.6287285340622,653.0656477868571
2024-04-14,319.3948283907127,489.5843466676549,660.6140864732329
2024-04-15,335.79890404963913,504.89622724987953,674.2376343909468
2024-04-16,346.16604755378467,523.1588383987328,684.954541908009
2024-04-17,355.02792669971603,527.0059003872334,690.8527280581187
2024-04-18,351.91352801848035,520.5448907895187,692.394274324426
2024-04-19,341.7626585489045,511.92197481950325,679.0670824621681
2024-04-20,332.95340629267577,508.0516591370072,679.759824218253
2024-04-21,336.9032318675355,514.3066594281972,688.9147829040515
2024-04-22,352.50056246647455,528.9903942949946,708.9064341796774
2024-04-23,361.3474994235544,547.407115585356,720.5406911551871
2024-04-24,368.6581188523624,552.390633849785,725.8257663120717
2024-04-25,364.6100596094787,546.779858770422,726.0987313761403
2024-04-26,354.40347611443764,537.9844305271646,712.7993193826201
2024-04-27,345.79353316772114,532.964173695541,713.6806245448665
2024-04-28,350.4280413743468,538.3529217638948,722.6715807711643
2024-04-29,365.9058982265731,551.1534658011998,737.539127493796
